"person_id","loan_id","cb_id","person_age","person_income","person_home_ownership","person_emp_length","loan_intent","loan_grade","loan_amnt","loan_int_rate","loan_status","loan_percent_income","cb_person_default_on_file","cb_person_cred_hist_length"
YIHuehGl-eWpc,IHcxHFyD-ddZE,CRO9thKh-NYDn,29,175000,Mortgage,2.0,Homeimprovement,A,10000,11.02,0,0.06,N,9
LmwskARR-HyA3,"0YpSbTgj-CZKT",j3jnnG3T-iF3N,21,41900,Rent,2.0,Venture,C,16000,12.84,1,0.38,Y,2
bRYeof0L-cqHI,"0T2YFLWb-IZze","0Y1a64ag-4RLW",30,100000,Rent,13.0,Debtconsolidation,A,12000,7.88,0,0.12,N,9
F9a6bBd9-Xe2o,"8HuvzhAq-k7Xi",L42AQtMx-SEGR,27,68000,Rent,4.0,Homeimprovement,A,8700,7.88,0,0.13,N,5
hBn6Nj78-fvgu,w1JRom7y-y1od,"2SebLJsQ-lj5F",26,31200,Rent,8.0,Personal,A,5000,8.63,0,0.16,N,2
Nd27XiBX-lXUd,T3wsKLZm-NLwO,PRJU1oaG-yona,32,160000,Mortgage,2.0,Medical,B,3200,11.02,0,0.02,N,5
"01mYIc8o-5SsX",zzGGi9ec-u2LF,"2l0WvCkT-vCj9",22,45000,Rent,3.0,Venture,B,5000,12.42,0,0.11,N,2
HYNz400D-rzsb,eNAftsYx-hTla,"4QvCYJZz-Qww5",22,60000,Own,7.0,Venture,D,15000,16.49,0,0.25,Y,2
hRO9kOL5-Y29L,qBv7Ad3u-unNs,J7M98CyW-tebW,26,65000,Mortgage,11.0,Venture,A,12000,7.9,0,0.18,N,2
t59ApC2m-YYFd,BztZjz7l-APOx,FlYfM4NA-7CZJ,30,28800,Rent,1.0,Debtconsolidation,C,8000,12.73,0,0.28,N,10
zKhBXo2u-WqgH,oWxhfJ5z-XbcS,dNdJZagZ-EYux,23,70000,Mortgage,5.0,Education,B,20000,12.21,0,0.29,N,4
"3Fn6Bsv2-lENb",eWgmMLkK-ZBt8,En3WPrh1-l38m,22,42996,Rent,2.0,Debtconsolidation,C,14400,11.02,1,0.33,Y,4
tE2MMb33-ZtT7,j6eaWF98-rxdq,oJM66DQo-WPHF,34,89000,Rent,3.0,Homeimprovement,D,35000,18.25,1,0.39,N,8
uuxfZCc3-yREE,uCmuTGJI-lgY4,"99KTbbun-q4wt",31,60000,Mortgage,5.0,Medical,A,7200,6.03,0,0.12,N,8
